Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4
SPAC22F8.08	sec24	inviable	E	0.322	3.513	5.858	6.614	6.775
SPAC22F8.09	rrp16	viable	V	0.043	0.175	0.339	0.481	0.564
SPAC22F8.10c	sap145	inviable	E	0.137	1.907	3.983	5.006	5.316
SPAC22F8.11	plc1	condition-dependent	V	0.053	1.108	3.407	5.406	6.361
SPAC22F8.12c	shf1	viable	V	0.037	0.123	0.236	0.35	0.43
SPAC22G7.01c	fra1	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC22G7.02	kap111	condition-dependent	V	0.002	0.0	0.0	0.0	0.0
SPAC22G7.03	SPAC22G7.03	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC22G7.04	pan2	viable	V	0.034	0.197	0.496	0.848	1.113
SPAC22G7.05	kri1	viable	V	0.093	1.929	4.557	5.971	6.417
SPAC22G7.06c	ura1	viable	V	0.068	0.893	1.552	1.77	1.816
SPAC22G7.07c	ime4	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC22G7.08	ppk8	viable	V	0.025	0.079	0.15	0.225	0.28
SPAC22G7.09c	nup45	inviable	E	0.028	1.3	3.761	5.204	5.659
SPAC22G7.10	iss1	inviable	E	0.066	1.381	3.731	5.351	5.981
SPAC22H10.03c	kap114	viable	V	0.0	0.0	0.009	0.335	0.987
SPAC22H10.04	ppa3	viable	V	-0.01	-0.001	-0.0	-0.0	-0.0
SPAC22H10.05c	SPAC22H10.05c	inviable	E	0.015	1.621	4.684	6.11	6.46
SPAC22H10.06c	SPAC22H10.06c	unknown	Not_determined	0.002	0.009	0.017	0.024	0.027
SPAC22H10.07	scd2	viable	V	0.037	0.116	0.221	0.331	0.413
SPAC22H10.08	SPAC22H10.08	viable	V	0.001	0.012	0.018	0.02	0.021
SPAC22H10.09	cbp8	viable	V	0.035	0.111	0.212	0.317	0.395
SPAC22H10.10	alp21	inviable	E	0.016	1.378	4.306	5.955	6.437
SPAC22H10.11c	crf1	viable	V	0.112	1.004	2.175	2.943	3.256
SPAC22H10.12c	gdi1	inviable	E	0.127	2.528	4.946	5.844	6.051
SPAC22H12.01c	mug35	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC22H12.02	tfg3	viable	V	0.0	0.012	0.161	0.494	0.751
SPAC22H12.03	pah2	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC22H12.04c	rps102	viable	V	0.278	2.021	4.229	5.737	6.391
SPAC22H12.05c	fsc1	viable	V	0.018	0.154	0.242	0.27	0.276
SPAC23A1.02c	ted1	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC23A1.03	apt1	viable	V	0.059	0.248	0.542	0.868	1.109
SPAC23A1.04c	mnl1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC23A1.05	tsc3	inviable	E	0.023	1.666	4.154	5.159	5.386
SPAC23A1.06c	cmk2	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC23A1.07	rnf170	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC23A1.08c	rpl3401	inviable	E	0.317	3.166	5.18	5.822	5.958
SPAC23A1.10	tef102	viable	Not_determined	0.003	0.0	0.0	0.0	0.0
SPAC23A1.12c	frs1	inviable	E	0.202	3.117	5.597	6.431	6.61
SPAC23A1.14c	SPAC23A1.14c	viable	V	0.007	0.021	0.04	0.059	0.074
SPAC23A1.15c	sec20	viable	V	0.153	2.412	4.89	5.975	6.269
SPAC23A1.17	bbc1	viable	V	0.015	0.058	0.112	0.16	0.188
SPAC23A1.18c	mrp51	inviable	E	0.0	0.001	0.48	3.273	5.5
SPAC23A1.19c	hrq1	condition-dependent	E	0.034	0.125	0.256	0.397	0.502
SPAC23A1.20	new11	unknown	Not_determined	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC23C11.01	ice2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC23C11.03	mpp10	inviable	E	0.117	2.469	5.122	6.213	6.486
SPAC23C11.04c	pnk1	viable	V	0.042	0.333	0.543	0.617	0.634
SPAC23C11.05	ipp1	inviable	E	0.02	1.884	4.993	6.291	6.586
SPAC23C11.06c	SPAC23C11.06c	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC23C11.07	SPAC23C11.07	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC23C11.08	php3	viable	V	0.002	0.357	1.119	1.467	1.548
SPAC23C11.09	ala1	inviable	E	0.154	2.884	5.397	6.262	6.449
SPAC23C11.10	mpn1	viable	V	0.036	0.306	0.482	0.537	0.549
SPAC23C11.11	cka1	inviable	E	0.005	0.266	1.652	4.178	6.277
SPAC23C11.13c	hpt1	viable	V	0.28	1.734	3.276	4.189	4.544
SPAC23C11.14	zhf1	viable	V	0.043	0.151	0.302	0.463	0.583
SPAC23C11.15	pst2	condition-dependent	V	0.075	0.4	0.97	1.632	2.128
SPAC23C11.16	plo1	condition-dependent	E	0.115	1.635	3.918	5.389	5.951
SPAC23C11.17	mdm38	inviable	E	0.038	2.1	5.028	6.205	6.473
SPAC23C4.02	crn1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC23C4.03	hrk1	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC23C4.05c	les1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC23C4.06c	efm6	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC23C4.07	tht2	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC23C4.08	rho3	condition-dependent	V	0.046	0.146	0.28	0.419	0.521
SPAC23C4.09c	SPAC23C4.09c	viable	V	-0.005	-0.001	-0.0	-0.0	-0.0
SPAC23C4.10	sec2	inviable	E	0.07	2.267	4.78	5.705	5.909
SPAC23C4.11	atp18	viable	V	0.044	0.39	0.917	1.328	1.524
SPAC23C4.12	hhp2	viable	V	0.027	0.173	0.307	0.373	0.394
SPAC23C4.13	bet1	inviable	E	0.155	2.458	5.026	6.171	6.485
SPAC23C4.14	alg1	inviable	E	0.003	1.1	3.96	5.413	5.77
SPAC23C4.15	rpb5	inviable	E	0.056	0.798	2.763	5.258	7.016
SPAC23C4.16c	atg15	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC23C4.17	trm402	viable	V	0.004	0.0	0.0	0.0	0.0
SPAC23C4.18c	rad4	inviable	E	0.097	2.12	4.775	6.05	6.413
SPAC23C4.19	spt5	inviable	E	0.023	1.498	4.284	5.735	6.14
SPAC23D3.01	pdp3	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC23D3.02	rfc2	inviable	E	0.0	0.085	1.566	4.065	5.297
SPAC23D3.03c	SPAC23D3.03c	viable	V	-0.012	-0.102	-0.161	-0.18	-0.184
SPAC23D3.04c	gpd2	viable	V	-0.014	-0.117	-0.184	-0.205	-0.21
SPAC23D3.06c	nup146	inviable	E	0.223	2.824	5.16	6.047	6.263
SPAC23D3.07	pup1	inviable	E	0.112	1.942	4.469	5.854	6.305
SPAC23D3.08	usp108	inviable	E	0.0	0.025	0.356	1.23	2.033
SPAC23D3.09	arp42	viable	V	0.013	0.213	0.82	1.698	2.387
SPAC23D3.10c	eng2	viable	V	-0.0	-0.0	-0.001	-0.001	-0.001
SPAC23D3.11	ayr1	viable	V	0.011	0.001	0.0	0.0	0.0
SPAC23D3.12	pho842	viable	V	0.026	0.219	0.346	0.385	0.394
SPAC23D3.13c	SPAC23D3.13c	viable	V	0.018	0.06	0.116	0.172	0.21
SPAC23D3.14c	aah2	viable	Not_determined	-0.006	-0.001	-0.0	-0.0	-0.0
SPAC23D3.16	lam4	viable	Not_determined	0.03	1.282	3.844	5.483	6.045
SPAC23E2.01	fep1	viable	V	0.004	0.089	0.395	0.871	1.25
SPAC23E2.02	lsd2	inviable	E	0.002	0.15	1.106	2.995	4.597
SPAC23E2.03c	sms1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC23G3.01	rpb2	inviable	E	0.09	2.542	5.192	6.15	6.361
SPAC23G3.02c	sib1	viable	V	0.015	0.064	0.141	0.226	0.289
SPAC23G3.03	sib2	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC23G3.04	ies4	viable	V	0.014	0.107	0.178	0.205	0.212
SPAC23G3.05c	SPAC23G3.05c	viable	V	0.019	0.002	0.0	0.0	0.0
SPAC23G3.06	nop58	inviable	E	0.046	2.209	5.054	6.15	6.394
SPAC23G3.07c	snf30	viable	V	0.017	0.14	0.221	0.246	0.251
SPAC23G3.08c	ubp7	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC23G3.09	taf4	inviable	E	0.003	0.989	3.372	4.511	4.779
SPAC23G3.10c	ssr3	condition-dependent	V	0.002	0.13	0.926	2.473	3.78
SPAC23G3.11	rpn6	inviable	E	0.037	1.679	4.408	5.777	6.158
SPAC23G3.12c	htr12	viable	V	0.016	0.096	0.176	0.221	0.238
SPAC23H3.02c	ini1	inviable	E	0.061	0.956	2.944	4.902	5.981
SPAC23H3.03c	npr2	viable	V	0.001	0.122	1.063	3.076	4.819
SPAC23H3.04	SPAC23H3.04	viable	V	0.015	0.124	0.195	0.217	0.222
SPAC23H3.05c	swd1	viable	V	0.0	0.027	0.198	0.539	0.828
SPAC23H3.06	apl6	viable	V	0.005	0.093	0.293	0.488	0.593
SPAC23H3.08c	bub3	viable	V	-0.004	-0.001	-0.0	-0.0	-0.0
SPAC23H3.09c	gly1	viable	V	0.189	1.369	3.113	4.543	5.277
SPAC23H3.10	ssr2	inviable	E	0.005	0.234	1.381	3.418	5.099
SPAC23H3.11c	max1	viable	V	0.03	0.252	0.398	0.443	0.453
SPAC23H3.12c	SPAC23H3.12c	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC23H3.13c	gpa2	viable	V	0.097	0.453	1.032	1.685	2.173
SPAC23H3.14	avl9	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC23H4.01c	osh3	viable	V	0.003	0.0	0.0	0.0	0.0
SPAC23H4.02	ppk9	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC23H4.04	slm3	inviable	E	0.0	0.001	0.177	1.73	3.753
SPAC23H4.06	gln1	inviable	E	0.175	2.539	4.719	5.532	5.725
SPAC23H4.07c	srp102	inviable	E	0.115	1.692	4.273	6.09	6.838
SPAC23H4.08	iwr1	viable	V	0.006	0.111	0.412	0.781	1.022
SPAC23H4.09	cdb4	viable	V	0.001	0.003	0.006	0.008	0.01
SPAC23H4.10c	thi4	viable	V	-0.0	-0.0	-0.0	-0.105	-0.616
SPAC23H4.11c	cnl2	inviable	E	0.0	0.066	1.642	4.173	5.241
SPAC23H4.12	alp13	condition-dependent	V	0.0	0.04	0.503	1.058	1.271
SPAC23H4.13c	SPAC23H4.13c	unknown	Not_determined	-0.007	-0.0	-0.0	-0.0	-0.0
SPAC23H4.14	vam6	viable	V	0.001	0.118	0.874	2.371	3.642
SPAC23H4.15	tsr1	inviable	E	0.398	2.263	4.182	5.319	5.766
SPAC23H4.16c	not11	viable	V	0.002	0.019	0.029	0.033	0.033
SPAC23H4.17c	srb10	viable	V	0.002	0.021	0.033	0.036	0.037
SPAC23H4.18c	rbx1	inviable	E	0.0	0.214	2.304	4.533	5.333
SPAC23H4.21	SPAC23H4.21	unknown	Not_determined	0.002	0.0	0.0	0.0	0.0
SPAC24B11.05	SPAC24B11.05	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC24B11.06c	sty1	viable	V	0.0	0.008	0.125	0.442	0.737
SPAC24B11.07c	SPAC24B11.07c	viable	V	0.006	0.0	0.0	0.0	0.0
SPAC24B11.09	mpc2	viable	V	0.191	0.606	1.157	1.733	2.157
SPAC24B11.10c	cfh1	viable	V	0.019	0.076	0.148	0.209	0.246
SPAC24B11.11c	sid2	inviable	E	0.0	0.248	2.835	5.055	5.669
SPAC24B11.12c	dnf2	viable	V	0.006	0.363	0.87	1.071	1.116
SPAC24B11.13	hem3	viable	V	0.0	0.769	3.94	5.869	6.366
SPAC24B11.14	SPAC24B11.14	unknown	Not_determined	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC24C9.03	mvd1	inviable	E	0.023	1.971	5.091	6.376	6.667
SPAC24C9.04	med9	inviable	E	0.003	0.066	0.276	0.592	0.843
SPAC24C9.06c	aco1	inviable	E	0.091	0.871	2.497	4.304	5.49
SPAC24C9.07c	bgs2	viable	V	0.016	0.121	0.2	0.229	0.237
SPAC24C9.08	cps1	viable	V	-0.004	-0.032	-0.051	-0.057	-0.058
SPAC24C9.09	SPAC24C9.09	inviable	E	0.0	0.024	0.816	3.127	4.847
SPAC24C9.10c	mrp4	inviable	E	0.0	0.054	1.124	3.8	5.776
SPAC24C9.11	sgd1	inviable	E	0.426	2.499	4.578	5.758	6.202
SPAC24C9.12c	shm1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC24C9.13c	mrp10	inviable	E	0.0	0.099	1.158	3.736	6.05
SPAC24C9.14	otu1	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC24C9.15c	spn5	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC24H6.01c	gup1	inviable	E	0.001	0.504	2.79	4.804	5.562
SPAC24H6.02c	zim17	viable	V	0.01	0.001	0.0	0.0	0.0
SPAC24H6.03	cul3	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC24H6.04	hxk1	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC24H6.05	cdc25	inviable	E	0.224	1.814	3.924	5.381	6.011
SPAC24H6.06	sld3	inviable	E	0.237	2.249	4.163	5.017	5.262
SPAC24H6.08	SPAC24H6.08	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC24H6.09	gef1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC24H6.10c	aro4	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC24H6.11c	vsb1	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC24H6.12c	uba3	inviable	E	0.007	0.277	1.533	3.699	5.473
SPAC24H6.13	SPAC24H6.13	viable	V	0.025	0.081	0.154	0.231	0.288
SPAC25A8.01c	fft3	condition-dependent	V	0.024	0.205	0.613	1.136	1.536
SPAC25A8.02	atg14	viable	V	-0.005	-0.0	-0.0	-0.0	-0.0
SPAC25A8.03c	SPAC25A8.03c	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC25B8.02	sds3	inviable	E	0.0	0.033	0.278	0.459	0.508
SPAC25B8.03	psd2	viable	V	-0.0	-0.045	-0.276	-0.425	-0.463
SPAC25B8.04c	mss51	viable	V	0.001	0.038	0.219	0.536	0.798
SPAC25B8.05	deg1	viable	V	0.014	0.187	0.667	1.335	1.854
SPAC25B8.06c	dia4	condition-dependent	E	0.0	0.0	0.612	3.644	5.21
SPAC25B8.07c	rcf1	viable	V	-0.02	-0.003	-0.0	-0.0	-0.0
SPAC25B8.08	SPAC25B8.08	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC25B8.09	SPAC25B8.09	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC25B8.10	SPAC25B8.10	viable	V	0.027	0.225	0.355	0.396	0.404
SPAC25B8.11	SPAC25B8.11	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC25B8.13c	isp7	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC25B8.14	mal2	inviable	E	0.0	0.071	1.432	4.012	5.421
SPAC25B8.15c	tyw3	viable	V	0.0	0.001	0.515	2.434	3.312
SPAC25B8.16	pop100	inviable	E	0.035	1.659	4.518	6.028	6.466
SPAC25B8.17	ypf1	viable	V	0.03	0.251	0.395	0.44	0.45
SPAC25B8.19c	loz1	viable	V	0.09	0.376	0.729	1.024	1.191
SPAC25B8.20	smp1	viable	Not_determined	0.021	0.174	0.274	0.305	0.312
SPAC25G10.01	SPAC25G10.01	viable	V	0.02	0.164	0.259	0.288	0.294
SPAC25G10.02	cce1	viable	V	0.009	0.001	0.0	0.0	0.0
SPAC25G10.03	zip1	condition-dependent	V	0.424	1.345	2.568	3.845	4.788
SPAC25G10.04c	rec10	viable	V	-0.004	-0.0	-0.0	-0.0	-0.0
SPAC25G10.05c	his1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC25G10.06	rps2801	viable	V	0.039	1.562	3.444	4.155	4.312
SPAC25G10.07c	cut7	condition-dependent	E	0.004	1.27	4.357	5.837	6.186
SPAC25G10.08	tif302	inviable	E	0.117	2.731	5.364	6.296	6.5
SPAC25G10.09c	pan1	viable	V	0.1	1.996	4.418	5.583	5.917
SPAC25H1.02	jmj1	viable	V	0.013	0.112	0.177	0.198	0.202
SPAC25H1.04	mug105	viable	V	0.018	0.058	0.111	0.167	0.208
SPAC25H1.05	meu29	viable	V	0.111	0.483	1.07	1.724	2.21
SPAC25H1.06	pcf3	viable	V	0.015	0.128	0.202	0.225	0.229
SPAC25H1.07	emc1	viable	V	0.017	0.086	0.163	0.216	0.24
SPAC25H1.09	mde5	viable	V	-0.044	-0.006	-0.0	-0.0	-0.0
SPAC25H1.10c	atp19	viable	Not_determined	0.018	0.152	0.24	0.267	0.273
SPAC26A3.01	sxa1	viable	V	0.011	0.092	0.145	0.162	0.166
SPAC26A3.02	myh1	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC26A3.03c	rmi1	inviable	E	-0.009	-0.001	-0.0	-0.0	-0.0
SPAC26A3.05	chc1	inviable	E	0.014	1.639	4.699	6.085	6.418
SPAC26A3.06	bud23	viable	V	-0.01	-0.084	-0.132	-0.147	-0.15
SPAC26A3.09c	rga2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC26A3.10	cnt6	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC26A3.11	SPAC26A3.11	viable	V	0.007	0.0	0.0	0.0	0.0
SPAC26A3.12c	dhp1	inviable	E	0.419	3.519	5.548	6.181	6.315
SPAC26A3.13c	Tf2-4	unknown	Not_determined	0.031	0.256	0.404	0.45	0.46
SPAC26A3.14c	atg44	viable	V	0.032	0.273	0.43	0.479	0.49
SPAC26A3.15c	nsp1	inviable	E	0.338	3.238	5.252	5.891	6.026
SPAC26A3.16	dsk2	viable	V	0.003	0.024	0.038	0.043	0.044
SPAC26A3.17c	rmt2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC26F1.01	sec74	viable	V	-0.015	-0.125	-0.197	-0.219	-0.224
SPAC26F1.02	pnn1	viable	V	-0.009	-0.001	-0.0	-0.0	-0.0
SPAC26F1.03	pda1	inviable	E	0.201	0.973	2.255	3.715	4.806
SPAC26F1.04c	etr1	viable	V	-0.004	-0.001	-0.0	-0.0	-0.0
SPAC26F1.05	mug106	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC26F1.06	gpm1	inviable	E	0.102	2.56	5.105	6.014	6.212
SPAC26F1.07	SPAC26F1.07	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC26F1.08c	SPAC26F1.08c	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC26F1.09	gyp51	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC26F1.10c	pyp1	viable	V	0.007	0.494	1.234	1.533	1.6
SPAC26F1.12c	hgh1	viable	V	0.022	0.188	0.297	0.331	0.338
SPAC26F1.13c	lrs1	inviable	E	0.4	3.362	5.3	5.905	6.033
SPAC26F1.14c	aif1	viable	V	0.033	0.104	0.199	0.298	0.371
SPAC26H5.02c	mgs1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC26H5.03	pcf2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC26H5.04	gid5	viable	V	0.015	0.127	0.2	0.223	0.228
SPAC26H5.05	mga2	viable	V	0.053	0.533	1.627	2.965	3.923
SPAC26H5.06	pot1	condition-dependent	E	0.0	0.065	0.781	2.554	4.154
SPAC26H5.07c	SPAC26H5.07c	viable	V	0.0	0.025	0.368	0.7	0.796
SPAC26H5.09c	SPAC26H5.09c	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC26H5.11	mug56	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC26H5.12	rpo41	inviable	E	0.0	0.393	3.074	5.009	5.518
SPAC26H5.13c	kei1	inviable	E	0.451	3.103	5.621	6.886	7.305
SPAC27D7.02c	grp1	viable	V	-0.002	-0.007	-0.014	-0.02	-0.025
SPAC27D7.03c	mei2	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC27D7.04	omt2	viable	V	-0.019	-0.159	-0.251	-0.279	-0.285
SPAC27D7.08c	mtl16	viable	V	0.0	0.0	0.001	0.251	1.086
SPAC27D7.11c	SPAC27D7.11c	viable	V	0.039	0.005	0.0	0.0	0.0
SPAC27D7.12c	but1	viable	V	0.013	0.002	0.0	0.0	0.0
SPAC27D7.13c	ssm4	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC27D7.14c	tpr1	viable	V	0.055	0.53	1.659	3.139	4.275
SPAC27E2.01	SPAC27E2.01	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC27E2.02	yih1	viable	V	0.043	0.171	0.332	0.473	0.558
SPAC27E2.03c	SPAC27E2.03c	viable	V	0.143	0.958	1.947	2.61	2.895
SPAC27E2.04c	mug155	unknown	Not_determined	0.044	0.006	0.0	0.0	0.0
SPAC27E2.05	cdc1	inviable	E	0.001	0.837	3.892	5.661	6.111
SPAC27E2.06c	msm1	inviable	E	0.0	0.0	0.116	2.046	5.085
SPAC27E2.07	pvg2	viable	V	-0.043	-0.358	-0.564	-0.628	-0.642
SPAC27E2.08	Tf2-6	unknown	Not_determined	0.024	0.077	0.147	0.22	0.274
SPAC27E2.09	mak2	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC27E2.10c	rfc3	inviable	E	0.0	0.004	1.106	4.344	5.761
SPAC27E2.12	SPAC27E2.12	viable	Not_determined	0.034	0.004	0.0	0.0	0.0
SPAC27E2.14	SPAC27E2.14	unknown	Not_determined	0.003	0.0	0.0	0.0	0.0
SPAC27F1.02c	cdc8	inviable	E	0.01	0.362	1.955	4.67	6.887
SPAC27F1.04c	nuf2	inviable	E	0.006	0.962	3.574	5.191	5.677
SPAC27F1.05c	SPAC27F1.05c	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC27F1.06c	ani2	viable	V	0.038	0.17	0.327	0.45	0.513
SPAC27F1.07	ost1	inviable	E	0.008	1.338	4.267	5.724	6.093
SPAC27F1.08	pdt1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC27F1.09c	prp10	inviable	E	0.447	3.752	5.916	6.591	6.734
SPAC27F1.10	SPAC27F1.10	viable	V	-0.01	-0.085	-0.134	-0.149	-0.152
SPAC29A4.02c	SPAC29A4.02c	viable	V	0.025	0.211	0.334	0.374	0.382
SPAC29A4.03c	mrps9	inviable	E	0.0	0.002	0.834	3.757	5.181
SPAC29A4.04c	cbf5	inviable	E	0.06	2.319	5.074	6.109	6.339
SPAC29A4.06c	SPAC29A4.06c	inviable	E	0.057	1.901	4.093	4.931	5.121
SPAC29A4.07	srb6	inviable	E	0.01	0.27	1.268	2.855	4.129
SPAC29A4.08c	prp19	inviable	E	0.06	1.625	4.01	5.271	5.653
SPAC29A4.09	rrp17	viable	V	0.025	0.43	1.366	2.302	2.819
SPAC29A4.10	rrn5	inviable	E	0.001	0.701	3.098	4.408	4.727
SPAC29A4.11	rga3	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC29A4.14c	pex3	viable	V	0.02	0.166	0.261	0.291	0.298
SPAC29A4.15	srs1	inviable	E	0.455	3.822	6.027	6.714	6.86
SPAC29A4.16	hal4	condition-dependent	V	0.053	1.103	2.11	2.461	2.537
SPAC29A4.17c	fun14	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC29A4.18	prw1	condition-dependent	V	0.012	0.239	1.009	2.176	3.102
SPAC29A4.19c	cta5	viable	V	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC29A4.20	elp3	viable	V	0.323	1.16	2.347	3.617	4.558
SPAC29A4.23	SPAC29A4.23	unknown	Not_determined	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC29B12.01	ino80	inviable	E	0.15	0.91	2.264	3.775	4.843
SPAC29B12.02c	set2	viable	V	0.033	0.106	0.202	0.303	0.377
SPAC29B12.03	spd1	viable	V	0.017	0.101	0.184	0.23	0.247
SPAC29B12.04	snz1	viable	V	0.095	0.772	2.037	3.35	4.177
SPAC29B12.05c	mtq1	viable	V	-0.0	-0.002	-0.003	-0.004	-0.004
SPAC29B12.06c	rcd1	viable	V	-0.012	-0.002	-0.0	-0.0	-0.0
SPAC29B12.07	sec16	inviable	E	0.013	1.585	4.402	5.61	5.886
SPAC29B12.08	clr5	viable	V	-0.028	-0.239	-0.377	-0.419	-0.429
SPAC29B12.10c	pgt1	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC29B12.11c	SPAC29B12.11c	viable	V	-0.011	-0.089	-0.141	-0.157	-0.161
SPAC29B12.12	hot13	viable	V	0.007	0.001	0.0	0.0	0.0
SPAC29B12.14c	SPAC29B12.14c	viable	V	0.001	0.0	0.0	0.0	0.0
SPAC29E6.01	pof11	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC29E6.02	prp3	inviable	E	0.181	1.827	4.061	5.516	6.098
SPAC29E6.03c	uso1	inviable	E	0.013	1.649	4.65	5.946	6.244
SPAC29E6.04	nnf1	inviable	E	0.047	0.97	3.235	5.511	6.749
SPAC29E6.05c	mxr1	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC29E6.06c	SPAC29E6.06c	inviable	E	0.161	2.842	5.256	6.081	6.26
SPAC29E6.07	SPAC29E6.07	viable	V	0.008	0.001	0.0	0.0	0.0
SPAC29E6.08	tbp1	inviable	E	0.36	3.175	5.058	5.649	5.774
SPAC29E6.09	SPAC29E6.09	viable	V	0.004	0.0	0.0	0.0	0.0
SPAC29E6.10c	nst1	viable	V	0.118	0.402	0.793	1.206	1.512
SPAC2C4.03c	smd2	inviable	E	0.055	2.231	4.928	5.947	6.173
SPAC2C4.05	cor1	viable	V	0.0	0.041	0.299	0.777	1.151
SPAC2C4.06c	rcm1	viable	V	0.01	0.001	0.0	0.0	0.0
SPAC2C4.07c	dis32	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC2C4.08	SPAC2C4.08	viable	V	-0.043	-0.006	-0.0	-0.0	-0.0
SPAC2C4.09	SPAC2C4.09	viable	V	-0.004	-0.0	-0.0	-0.0	-0.0
SPAC2C4.10c	csc4	viable	V	-0.003	-0.0	-0.0	-0.0	-0.0
SPAC2C4.12c	tpt1	inviable	E	0.017	1.503	4.435	5.923	6.321
SPAC2C4.15c	ubx2	viable	V	0.012	0.104	0.164	0.182	0.186
SPAC2C4.16c	rps801	viable	V	0.018	1.128	3.652	5.293	5.845
SPAC2C4.17c	msy2	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC2E12.02	hsf1	inviable	E	0.436	3.661	5.773	6.432	6.571
SPAC2E12.03c	SPAC2E12.03c	viable	V	0.035	0.295	0.465	0.518	0.529
SPAC2E12.05	wtf1	unknown	Not_determined	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC2E1P3.01	SPAC2E1P3.01	viable	V	0.0	0.081	0.274	0.366	0.388
SPAC2E1P3.02c	amt3	viable	V	-0.008	-0.0	-0.0	-0.0	-0.0
SPAC2E1P3.03c	Tf2-3	unknown	Not_determined	0.034	0.281	0.443	0.494	0.505
