Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC2F3.04c	rim1	inviable	E	0.0	0.012	0.175	0.791	1.749	2.812	3.501
SPAC2F3.05c	SPAC2F3.05c	viable	V	0.025	0.066	0.115	0.17	0.219	0.264	0.294
SPAC2F3.06c	kap104	condition-dependent	E	0.149	1.084	2.287	3.251	3.788	4.085	4.203
SPAC2F3.07c	SPAC2F3.07c	viable	V	-0.028	-0.256	-0.376	-0.411	-0.419	-0.42	-0.421
SPAC2F3.08	sut1	viable	V	-0.032	-0.112	-0.206	-0.297	-0.363	-0.412	-0.438
SPAC2F3.09	hem1	condition-dependent	E	0.003	1.052	3.201	4.246	4.534	4.613	4.629
SPAC2F3.10	vps54	inviable	E	0.0	0.193	1.901	3.61	4.256	4.466	4.514
SPAC2F3.11	ppx1	viable	V	0.0	0.0	0.009	0.332	0.722	0.87	0.9
SPAC2F3.12c	plp1	viable	V	0.018	0.165	0.243	0.265	0.27	0.271	0.272
SPAC2F3.13c	qtr2	viable	V	0.067	0.24	0.482	0.77	1.028	1.261	1.408
SPAC2F3.14c	saf2	inviable	E	0.123	1.796	3.798	4.966	5.424	5.605	5.658
SPAC2F3.15	lsk1	viable	V	0.062	0.223	0.426	0.636	0.8	0.93	1.003
SPAC2F3.16	SPAC2F3.16	viable	V	0.106	0.69	1.184	1.444	1.545	1.585	1.597
SPAC2F3.17c	lsm6	inviable	E	0.012	1.43	3.277	3.971	4.136	4.177	4.184
SPAC2F3.18c	SPAC2F3.18c	viable	V	-0.011	-0.101	-0.148	-0.162	-0.165	-0.166	-0.166
SPAC2F7.02c	psr1	viable	V	0.004	0.289	0.617	0.735	0.763	0.77	0.771
SPAC2F7.03c	pom1	viable	V	0.09	0.251	0.451	0.68	0.885	1.075	1.199
SPAC2F7.04	med1	viable	V	0.092	0.24	0.42	0.621	0.8	0.966	1.075
SPAC2F7.05c	tif5	inviable	E	0.163	2.196	3.448	3.828	3.913	3.934	3.938
SPAC2F7.06c	pol4	viable	V	-0.016	-0.003	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC2F7.07c	cph2	viable	V	0.046	0.298	0.755	1.331	1.831	2.245	2.483
SPAC2F7.08c	snf5	viable	V	0.028	0.128	0.293	0.509	0.715	0.908	1.034
SPAC2F7.09c	gep3	viable	V	0.072	0.233	0.425	0.62	0.772	0.891	0.959
SPAC2F7.10	akr1	viable	V	0.033	0.149	0.276	0.377	0.437	0.473	0.489
SPAC2F7.11	nrd1	viable	V	0.0	0.0	0.083	0.325	0.435	0.466	0.472
SPAC2F7.13c	wrs1	inviable	E	0.12	2.073	3.4	3.812	3.906	3.929	3.933
SPAC2F7.15	rsm24	inviable	E	0.028	0.57	1.727	2.879	3.577	3.971	4.129
SPAC2F7.16c	pld1	viable	Not_determined	-0.007	-0.019	-0.033	-0.048	-0.062	-0.075	-0.083
SPAC2F7.17	mrf1	viable	V	0.001	0.091	0.433	0.792	0.983	1.072	1.102
SPAC2G11.02	urb2	inviable	E	0.043	1.298	2.917	3.743	4.016	4.108	4.131
SPAC2G11.03c	vps45	viable	V	0.0	0.011	0.471	1.639	2.395	2.728	2.824
SPAC2G11.04	rbm17	viable	V	0.059	0.154	0.269	0.398	0.513	0.619	0.689
SPAC2G11.05c	alx1	viable	V	-0.005	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC2G11.06	vps4	viable	V	0.081	0.596	1.485	2.488	3.257	3.821	4.11
SPAC2G11.07c	ptc3	viable	V	0.0	0.0	0.0	0.0	0.0	0.235	0.875
SPAC2G11.09	SPAC2G11.09	viable	V	0.006	0.001	0.0	0.0	0.0	0.0	0.0
SPAC2G11.10c	uba42	viable	V	0.048	0.337	0.826	1.372	1.79	2.098	2.256
SPAC2G11.11c	prh1	inviable	E	0.021	1.546	3.259	3.873	4.017	4.053	4.06
SPAC2G11.12	rqh1	viable	V	0.096	0.423	0.95	1.635	2.286	2.896	3.291
SPAC2G11.13	atg22	viable	V	0.039	0.36	0.529	0.578	0.589	0.592	0.592
SPAC2G11.14	taf1	inviable	E	0.019	0.932	2.404	3.247	3.544	3.648	3.675
SPAC2G11.15c	tgs1	viable	Not_determined	0.0	0.02	0.188	0.687	1.385	2.128	2.607
SPAC2H10.01	SPAC2H10.01	viable	V	0.01	0.055	0.099	0.127	0.14	0.146	0.148
SPAC2H10.02c	nas2	viable	V	0.018	0.046	0.081	0.119	0.154	0.186	0.207
SPAC2H10.04	SPAC2H10.04	unknown	Not_determined	0.005	0.042	0.061	0.067	0.068	0.068	0.069
SPAC30.01c	sec72	viable	V	0.055	0.325	0.575	0.725	0.792	0.822	0.832
SPAC30.02c	kti12	viable	V	0.203	0.907	1.812	2.692	3.318	3.76	3.984
SPAC30.03c	tsn1	viable	V	0.056	0.513	0.754	0.825	0.84	0.844	0.845
SPAC30.04c	abc4	viable	V	0.0	0.049	0.302	0.459	0.502	0.513	0.515
SPAC30C2.02	mmd1	viable	V	0.153	0.781	1.438	1.914	2.165	2.3	2.353
SPAC30C2.03	SPAC30C2.03	inviable	E	0.0	0.016	0.591	1.951	2.811	3.19	3.299
SPAC30C2.04	asc1	viable	V	0.172	0.638	1.266	1.962	2.541	3.024	3.309
SPAC30C2.05	erv14	viable	V	-0.009	-0.081	-0.121	-0.133	-0.136	-0.137	-0.137
SPAC30C2.06c	dml1	viable	V	0.024	1.235	3.212	4.34	4.734	4.871	4.906
SPAC30C2.07	fnp1	viable	V	0.001	0.0	0.0	0.0	0.0	0.0	0.0
SPAC30C2.08	SPAC30C2.08	viable	V	0.0	0.0	0.005	0.072	0.253	0.503	0.671
SPAC30D11.01c	gto2	viable	V	0.04	0.239	0.541	0.861	1.098	1.269	1.356
SPAC30D11.02c	SPAC30D11.02c	viable	V	0.025	0.159	0.274	0.335	0.359	0.369	0.372
SPAC30D11.03	ddx27	inviable	E	0.132	1.751	3.452	4.342	4.663	4.782	4.814
SPAC30D11.04c	nup124	viable	V	0.067	0.252	0.487	0.727	0.911	1.053	1.131
SPAC30D11.05	aps3	viable	V	0.079	0.228	0.408	0.601	0.763	0.903	0.989
SPAC30D11.06c	hfl1	viable	V	0.0	0.0	0.0	0.0	0.0	0.136	1.007
SPAC30D11.07	nth1	viable	V	0.021	0.104	0.219	0.338	0.427	0.493	0.528
SPAC30D11.08c	phf2	inviable	E	0.0	0.028	1.285	3.125	3.772	3.947	3.98
SPAC30D11.09	cwf19	viable	V	0.02	0.127	0.342	0.653	0.965	1.261	1.452
SPAC30D11.10	rad52	viable	V	0.032	0.632	1.763	2.753	3.292	3.57	3.673
SPAC30D11.11	izh3	viable	V	0.029	0.27	0.397	0.434	0.443	0.445	0.445
SPAC30D11.13	hus5	condition-dependent	V	0.0	0.137	1.129	2.55	3.406	3.827	3.968
SPAC30D11.14c	SPAC30D11.14c	viable	V	0.032	0.118	0.242	0.391	0.525	0.646	0.722
SPAC31A2.02	trm112	viable	V	0.022	0.379	1.296	2.498	3.449	4.129	4.462
SPAC31A2.03	mrp11	inviable	E	0.0	0.034	0.886	2.598	3.597	4.021	4.14
SPAC31A2.04c	pre1	inviable	E	0.041	1.391	2.765	3.301	3.442	3.481	3.489
SPAC31A2.05c	mis4	inviable	E	0.015	0.746	2.268	3.399	3.892	4.098	4.16
SPAC31A2.06	atp25	viable	V	0.05	0.267	0.621	1.049	1.417	1.724	1.903
SPAC31A2.07c	dbp10	inviable	E	0.05	1.901	3.573	4.136	4.266	4.298	4.304
SPAC31A2.08	mrp20	inviable	E	0.0	0.069	1.552	3.189	3.715	3.854	3.88
SPAC31A2.09c	apm4	viable	V	0.0	0.0	0.002	0.232	0.651	0.834	0.873
SPAC31A2.10	SPAC31A2.10	viable	V	0.048	0.188	0.348	0.492	0.589	0.655	0.688
SPAC31A2.11c	cuf1	viable	V	0.079	0.347	0.682	0.995	1.211	1.36	1.434
SPAC31A2.12	rod1	viable	V	0.0	0.0	0.0	0.022	0.313	0.593	0.667
SPAC31A2.13c	sft1	viable	V	0.083	1.852	3.175	3.598	3.694	3.718	3.722
SPAC31A2.14	bun107	viable	V	0.014	0.06	0.111	0.153	0.179	0.195	0.202
SPAC31A2.15c	dcc1	viable	V	0.005	0.055	0.196	0.437	0.697	0.95	1.112
SPAC31A2.16	gef2	viable	V	0.019	0.081	0.17	0.269	0.35	0.416	0.454
SPAC31F12.01	zds1	viable	V	0.0	0.001	0.04	0.23	0.463	0.638	0.713
SPAC31G5.01	sap49	inviable	E	0.025	1.676	3.478	4.119	4.269	4.306	4.313
SPAC31G5.02	rot1	inviable	E	0.014	1.33	3.169	3.949	4.157	4.213	4.225
SPAC31G5.03	rps1101	viable	V	0.171	2.0	3.89	4.901	5.276	5.419	5.46
SPAC31G5.04	lys12	viable	V	0.019	0.173	0.254	0.278	0.283	0.285	0.285
SPAC31G5.05c	rpe1	inviable	E	0.0	0.586	2.316	3.184	3.407	3.463	3.473
SPAC31G5.06	rrg8	inviable	E	0.0	0.0	0.02	1.482	3.693	4.6	4.789
SPAC31G5.07	dni1	viable	V	0.023	0.211	0.31	0.338	0.345	0.346	0.347
SPAC31G5.08	hem4	inviable	E	0.007	0.495	1.928	3.322	4.06	4.416	4.537
SPAC31G5.09c	spk1	viable	V	0.012	0.196	0.32	0.359	0.368	0.37	0.37
SPAC31G5.10	eta2	viable	V	0.033	0.087	0.152	0.225	0.29	0.35	0.389
SPAC31G5.11	pac2	viable	V	0.004	0.301	0.998	1.534	1.768	1.865	1.893
SPAC31G5.12c	maf1	viable	V	0.094	0.862	1.267	1.386	1.412	1.418	1.42
SPAC31G5.13	rpn11	inviable	E	0.104	2.013	3.366	3.792	3.889	3.912	3.917
SPAC31G5.14	gcv1	viable	V	-0.022	-0.205	-0.301	-0.329	-0.336	-0.337	-0.337
SPAC31G5.15	psd3	viable	V	0.0	0.0	0.005	0.367	0.921	1.149	1.196
SPAC31G5.16c	dpm1	inviable	E	0.021	2.328	5.252	6.34	6.599	6.662	6.674
SPAC31G5.17c	rps1001	viable	V	0.251	0.841	1.584	2.378	3.025	3.557	3.87
SPAC31G5.18c	sde2	viable	V	0.0	0.0	0.0	0.0	0.057	0.524	0.787
SPAC31G5.19	abo1	viable	V	0.147	1.273	2.385	3.013	3.264	3.366	3.398
SPAC31G5.21	SPAC31G5.21	viable	V	0.041	0.38	0.559	0.611	0.623	0.626	0.626
SPAC323.01c	pos5	condition-dependent	V	0.001	0.167	0.953	2.019	2.721	3.112	3.26
SPAC323.02c	pup2	inviable	E	0.061	2.002	3.673	4.227	4.355	4.386	4.392
SPAC323.03c	pex8	viable	V	0.007	0.066	0.096	0.105	0.107	0.108	0.108
SPAC323.04	SPAC323.04	viable	V	0.019	0.176	0.259	0.283	0.289	0.29	0.29
SPAC323.05c	mtq2	viable	V	0.004	0.258	1.211	2.478	3.363	3.898	4.119
SPAC323.06c	uba5	inviable	E	0.0	0.054	0.862	2.559	3.794	4.459	4.693
SPAC323.07c	SPAC323.07c	viable	V	0.001	0.061	0.31	0.669	0.935	1.102	1.174
SPAC323.08	rmp1	condition-dependent	E	0.315	2.012	3.473	4.263	4.576	4.705	4.745
SPAC328.01c	msn5	viable	V	0.034	0.119	0.242	0.391	0.529	0.658	0.742
SPAC328.02	dbl4	viable	V	0.043	0.756	1.963	2.929	3.42	3.66	3.745
SPAC328.03	tps1	viable	V	0.03	0.247	0.386	0.436	0.45	0.454	0.455
SPAC328.04	spg4	viable	V	0.0	0.0	0.121	0.552	0.762	0.823	0.835
SPAC328.05	hrb1	viable	V	0.011	0.15	0.475	0.895	1.235	1.486	1.614
SPAC328.06	ubp2	viable	V	-0.013	-0.003	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC328.07c	bsd1	viable	V	-0.0	-0.002	-0.172	-0.48	-0.596	-0.628	-0.634
SPAC328.09	odc1	viable	V	0.01	0.175	0.36	0.456	0.49	0.501	0.505
SPAC328.10c	rps502	viable	V	0.062	0.445	1.05	1.668	2.102	2.396	2.537
SPAC32A11.01	mug8	viable	V	0.007	0.382	0.759	0.89	0.92	0.928	0.929
SPAC32A11.02c	SPAC32A11.02c	viable	V	0.0	0.012	0.056	0.145	0.247	0.347	0.409
SPAC32A11.03c	phx1	viable	V	0.0	0.178	0.581	0.764	0.81	0.821	0.823
SPAC32A11.04c	tif212	inviable	E	0.136	2.093	3.366	3.757	3.846	3.868	3.872
SPAC343.01c	erg8	inviable	E	0.009	1.286	3.043	3.714	3.875	3.914	3.922
SPAC343.02	img1	inviable	E	0.008	0.463	1.566	2.492	2.934	3.13	3.193
SPAC343.04c	gid7	viable	V	0.039	0.107	0.189	0.279	0.357	0.428	0.473
SPAC343.05	vma1	condition-dependent	E	0.197	1.123	2.029	2.614	2.889	3.021	3.069
SPAC343.06c	pls1	viable	V	0.057	0.526	0.773	0.845	0.862	0.865	0.866
SPAC343.07	mug28	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC343.08c	mrp17	inviable	E	0.0	0.001	0.275	1.081	1.446	1.55	1.57
SPAC343.09	ubx3	viable	V	0.001	0.479	1.393	1.784	1.88	1.904	1.908
SPAC343.10	met11	viable	V	0.008	0.001	0.0	0.0	0.0	0.0	0.0
SPAC343.11c	msc1	viable	V	0.057	0.191	0.377	0.601	0.807	0.998	1.123
SPAC343.12	rds1	viable	V	-0.009	-0.066	-0.107	-0.124	-0.13	-0.131	-0.132
SPAC343.13	gta2	inviable	E	0.0	0.0	0.171	1.849	3.531	4.307	4.514
SPAC343.14c	tif222	inviable	E	0.135	2.276	3.715	4.162	4.263	4.288	4.292
SPAC343.15	tit1	viable	V	0.022	0.145	0.395	0.76	1.126	1.474	1.699
SPAC343.16	lys2	viable	V	0.013	0.421	0.769	0.885	0.912	0.918	0.919
SPAC343.17c	wdr70	condition-dependent	E	0.025	0.316	0.978	1.815	2.481	2.969	3.215
SPAC343.18	rfp2	viable	V	0.052	0.475	0.699	0.764	0.779	0.782	0.783
SPAC343.19	lsb6	viable	V	0.0	0.0	0.0	0.0	0.015	0.825	1.726
SPAC343.21	SPAC343.21	viable	Not_determined	0.014	0.132	0.194	0.212	0.216	0.217	0.217
SPAC3A11.02	cps3	viable	V	0.0	0.0	0.0	0.063	0.443	0.707	0.771
SPAC3A11.03	efm3	viable	V	0.008	0.0	0.0	0.0	0.0	0.0	0.0
SPAC3A11.04	sei1	viable	V	0.0	0.076	0.797	1.373	1.541	1.584	1.592
SPAC3A11.05c	kms1	viable	V	0.011	0.099	0.146	0.159	0.162	0.163	0.163
SPAC3A11.06	mvp1	viable	V	0.042	0.2	0.367	0.492	0.56	0.598	0.614
SPAC3A11.07	nde1	viable	V	0.056	0.256	0.472	0.642	0.74	0.798	0.822
SPAC3A11.08	cul4	condition-dependent	E	0.093	0.758	1.811	2.84	3.521	3.956	4.153
SPAC3A11.09	sod22	viable	V	0.015	0.002	0.0	0.0	0.0	0.0	0.0
SPAC3A11.10c	dpe1	viable	V	0.0	0.027	0.278	0.569	0.696	0.743	0.755
SPAC3A11.11c	SPAC3A11.11c	viable	V	-0.015	-0.003	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC3A11.12c	rpt5	inviable	E	0.151	1.835	2.831	3.13	3.197	3.213	3.216
SPAC3A11.13	pfd6	viable	V	0.023	0.173	0.501	0.997	1.501	1.981	2.289
SPAC3A11.14c	pkl1	viable	V	0.056	0.147	0.257	0.38	0.49	0.591	0.657
SPAC3A12.02	ceo2	inviable	E	0.0	0.01	0.279	1.3	2.532	3.514	3.979
SPAC3A12.03c	meu34	viable	V	0.027	0.44	0.712	0.796	0.815	0.82	0.82
SPAC3A12.04c	rpp1	inviable	E	0.043	1.682	3.383	4.034	4.202	4.247	4.256
SPAC3A12.05c	taf2	inviable	E	0.0	0.765	2.94	4.045	4.336	4.411	4.425
SPAC3A12.06c	SPAC3A12.06c	viable	V	-0.007	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC3A12.07	rpb11	inviable	E	0.133	1.763	3.694	4.841	5.303	5.491	5.547
SPAC3A12.08	SPAC3A12.08	viable	V	0.028	0.624	1.067	1.208	1.24	1.248	1.25
SPAC3A12.09c	ure4	viable	V	-0.01	-0.091	-0.134	-0.146	-0.149	-0.15	-0.15
SPAC3A12.10	rpl2001	viable	V	0.007	1.164	2.855	3.515	3.673	3.712	3.719
SPAC3A12.11c	cwf2	inviable	E	0.164	1.618	2.407	2.639	2.691	2.703	2.706
SPAC3A12.12	atp11	viable	V	0.033	0.136	0.297	0.503	0.698	0.88	0.998
SPAC3A12.13c	tif310	viable	V	0.209	1.177	2.101	2.684	2.953	3.081	3.125
SPAC3A12.14	cam1	inviable	E	0.003	1.05	2.939	3.73	3.924	3.972	3.98
SPAC3A12.15	vps53	inviable	E	0.001	0.243	1.484	3.001	3.862	4.277	4.417
SPAC3A12.16c	tim17	inviable	E	0.192	1.437	2.802	3.709	4.135	4.336	4.407
SPAC3A12.17c	cys12	viable	V	0.136	0.358	0.625	0.925	1.193	1.439	1.601
SPAC3A12.18	zwf1	condition-dependent	E	0.029	1.596	3.195	3.752	3.882	3.914	3.92
SPAC3C7.01c	sac12	viable	V	0.0	0.151	0.549	0.741	0.789	0.801	0.804
SPAC3C7.02c	pil2	viable	V	0.026	0.244	0.358	0.391	0.399	0.401	0.401
SPAC3C7.03c	rad55	viable	V	0.12	0.52	1.162	1.988	2.77	3.497	3.966
SPAC3C7.04	SPAC3C7.04	viable	V	0.006	0.165	0.63	1.245	1.716	2.037	2.185
SPAC3C7.05c	mug191	viable	V	0.005	0.362	0.759	0.901	0.934	0.942	0.944
SPAC3C7.06c	pit1	viable	V	0.043	0.395	0.58	0.634	0.646	0.649	0.65
SPAC3C7.07c	ate1	viable	V	0.077	0.711	1.044	1.142	1.164	1.169	1.17
SPAC3C7.08c	elf1	viable	V	0.106	0.903	2.041	3.012	3.575	3.894	4.025
SPAC3C7.09	set8	viable	V	0.008	0.0	0.0	0.0	0.0	0.0	0.0
SPAC3C7.10	pex13	viable	V	0.019	0.167	0.255	0.285	0.292	0.294	0.295
SPAC3C7.11c	cnx1	inviable	E	0.0	0.006	1.112	3.691	4.76	5.06	5.117
SPAC3C7.12	tip1	viable	V	0.068	0.516	0.955	1.213	1.32	1.367	1.381
SPAC3C7.13c	SPAC3C7.13c	viable	V	-0.009	-0.002	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC3C7.14c	obr1	viable	V	0.0	0.0	0.0	0.02	0.181	0.525	0.783
SPAC3F10.02c	trk1	viable	V	0.012	0.097	0.29	0.587	0.891	1.183	1.37
SPAC3F10.03	grs1	inviable	E	0.079	1.901	3.303	3.754	3.857	3.882	3.887
SPAC3F10.04	gsa1	condition-dependent	V	0.0	0.001	0.025	0.143	0.349	0.588	0.744
SPAC3F10.05c	mug113	viable	V	0.008	0.0	0.0	0.0	0.0	0.0	0.0
SPAC3F10.06c	rit1	viable	V	0.0	0.0	0.024	0.234	0.502	0.67	0.729
SPAC3F10.07c	erf4	viable	Not_determined	0.0	0.001	0.021	0.106	0.244	0.4	0.501
SPAC3F10.08c	faf1	inviable	E	0.09	2.061	3.957	4.731	4.948	5.012	5.026
SPAC3F10.09	his6	viable	V	0.019	0.113	0.199	0.249	0.271	0.281	0.284
SPAC3F10.10c	map3	viable	V	0.002	0.412	1.02	1.259	1.316	1.331	1.333
SPAC3F10.11c	abc2	viable	V	0.044	0.321	0.527	0.619	0.649	0.659	0.662
SPAC3F10.12c	SPAC3F10.12c	viable	V	-0.004	-0.182	-0.355	-0.414	-0.428	-0.431	-0.432
SPAC3F10.13	ucp6	viable	V	0.037	0.208	0.372	0.476	0.525	0.549	0.557
SPAC3F10.16c	SPAC3F10.16c	viable	V	0.102	1.779	3.103	3.579	3.701	3.734	3.741
SPAC3F10.17	ltv1	viable	V	0.319	1.688	3.052	3.978	4.436	4.669	4.755
SPAC3F10.19	spd2	viable	Not_determined	0.06	0.158	0.275	0.407	0.525	0.633	0.705
SPAC3G6.01	hrp3	viable	V	0.052	0.261	0.616	1.079	1.51	1.903	2.149
SPAC3G6.02	dss1	condition-dependent	V	0.061	1.296	2.204	2.492	2.558	2.574	2.577
SPAC3G6.03c	ifs1	viable	V	0.005	0.001	0.0	0.0	0.0	0.0	0.0
SPAC3G6.04	rnp24	viable	V	0.001	0.004	0.007	0.008	0.008	0.008	0.009
SPAC3G6.05	SPAC3G6.05	viable	V	0.013	0.115	0.169	0.185	0.189	0.19	0.19
SPAC3G6.06c	rad2	viable	V	0.006	0.065	0.227	0.5	0.794	1.079	1.262
SPAC3G6.07	SPAC3G6.07	unknown	Not_determined	-0.066	-0.015	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC3G6.09c	tps2	viable	V	0.017	0.152	0.223	0.244	0.249	0.25	0.25
SPAC3G6.10c	vps51	inviable	E	0.0	0.116	0.905	2.046	2.758	3.122	3.248
SPAC3G6.11	chl1	viable	V	0.073	0.195	0.344	0.513	0.663	0.802	0.893
SPAC3G6.13c	rpl4101	viable	V	0.046	0.01	0.001	0.0	0.0	0.0	0.0
SPAC3G9.01	nsk1	viable	V	0.032	0.122	0.258	0.428	0.587	0.735	0.832
SPAC3G9.02	oar2	viable	V	0.0	0.0	0.017	0.33	1.338	2.821	3.834
SPAC3G9.03	rpl2301	viable	V	0.162	0.478	0.885	1.357	1.784	2.179	2.437
SPAC3G9.04	ssu72	viable	V	0.0	0.009	0.09	0.353	0.732	1.14	1.404
SPAC3G9.05	spa2	viable	V	-0.004	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC3G9.06	frs2	inviable	E	0.157	2.235	3.542	3.94	4.03	4.052	4.056
SPAC3G9.07c	hos2	viable	V	0.04	0.161	0.298	0.419	0.498	0.551	0.576
SPAC3G9.08	png1	condition-dependent	V	0.152	0.478	0.912	1.424	1.892	2.324	2.607
SPAC3G9.09c	tif211	inviable	E	0.063	1.679	2.966	3.384	3.48	3.503	3.507
SPAC3G9.10c	rrp41	inviable	E	0.004	0.857	2.149	2.66	2.782	2.813	2.818
SPAC3G9.11c	pdc201	viable	V	0.038	0.346	0.509	0.557	0.567	0.57	0.57
SPAC3G9.12	peg1	inviable	E	0.024	1.201	2.808	3.572	3.803	3.874	3.89
SPAC3G9.13c	msw1	inviable	E	0.0	0.0	0.157	1.643	2.962	3.502	3.632
SPAC3G9.14	sak1	inviable	E	0.067	1.353	2.517	2.979	3.107	3.144	3.152
SPAC3G9.15c	fcf2	inviable	E	0.297	1.898	3.274	4.017	4.311	4.432	4.469
SPAC3G9.16c	bet5	inviable	E	0.0	0.639	3.415	5.053	5.495	5.608	5.629
SPAC3G9.17	ppt2	viable	Not_determined	0.001	0.053	0.404	1.351	2.611	3.929	4.778
SPAC3H1.01c	orc3	inviable	E	0.007	1.061	2.9	3.769	4.013	4.081	4.096
SPAC3H1.02c	sdd3	viable	V	0.032	0.152	0.279	0.376	0.43	0.461	0.474
SPAC3H1.03	mug151	viable	V	0.015	0.038	0.067	0.099	0.128	0.154	0.171
SPAC3H1.04c	mdm31	viable	V	0.029	0.169	0.438	0.817	1.193	1.548	1.777
SPAC3H1.05	ste24	viable	V	0.0	0.096	0.478	0.694	0.751	0.766	0.769
SPAC3H1.06c	SPAC3H1.06c	viable	V	0.022	0.057	0.099	0.147	0.189	0.228	0.254
SPAC3H1.07	aru1	viable	V	0.0	0.15	0.507	0.671	0.713	0.723	0.725
SPAC3H1.08c	SPAC3H1.08c	viable	V	0.027	0.172	0.369	0.546	0.658	0.728	0.759
SPAC3H1.09c	avt3	viable	V	0.0	0.112	0.805	1.271	1.4	1.432	1.439
SPAC3H1.10	pcs2	viable	V	0.0	0.003	0.046	0.13	0.19	0.223	0.235
SPAC3H1.11	hsr1	viable	V	-0.066	-0.015	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC3H1.12c	snt2	viable	V	0.066	0.182	0.325	0.487	0.632	0.767	0.855
SPAC3H1.13	ppk13	viable	V	0.019	0.087	0.199	0.347	0.488	0.62	0.706
SPAC3H5.06c	pol1	inviable	E	0.207	2.242	3.39	3.73	3.806	3.825	3.828
SPAC3H5.07	rpl702	viable	V	0.197	0.905	1.818	2.697	3.313	3.743	3.957
SPAC3H5.08c	wdr44	viable	V	0.019	0.072	0.147	0.235	0.312	0.379	0.42
SPAC3H5.09c	hob2	viable	V	0.02	0.183	0.27	0.296	0.302	0.304	0.304
SPAC3H8.02	csr102	viable	V	-0.022	-0.005	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC3H8.03	img2	viable	V	0.0	0.0	0.011	0.095	0.279	0.511	0.665
SPAC3H8.04	SPAC3H8.04	viable	V	0.0	0.049	0.361	0.574	0.633	0.648	0.651
SPAC3H8.05c	mms1	viable	V	0.0	0.009	0.24	1.15	2.295	3.242	3.704
SPAC3H8.06	aur1	inviable	E	0.288	2.049	3.406	4.036	4.252	4.329	4.35
SPAC3H8.07c	pfd3	viable	V	0.0	0.08	1.193	2.233	2.55	2.633	2.648
SPAC3H8.08c	SPAC3H8.08c	viable	V	0.0	0.002	0.087	0.205	0.246	0.257	0.259
SPAC3H8.09c	nab3	viable	V	0.023	0.19	0.296	0.336	0.346	0.35	0.35
SPAC3H8.10	spo20	condition-dependent	V	0.08	1.124	2.537	3.489	3.915	4.103	4.165
SPAC458.02c	SPAC458.02c	viable	V	0.059	0.547	0.804	0.879	0.896	0.9	0.901
SPAC458.03	tel2	inviable	E	0.007	1.213	3.131	3.952	4.165	4.221	4.233
SPAC458.04c	dli1	viable	V	0.002	0.399	0.964	1.183	1.235	1.248	1.251
SPAC458.05	pik3	viable	V	0.0	0.011	0.131	0.551	1.181	1.872	2.319
SPAC458.06	atg1803	viable	V	-0.004	-0.001	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC458.07	tfa1	inviable	E	0.019	0.919	2.448	3.368	3.706	3.828	3.86
SPAC4A8.02c	SPAC4A8.02c	viable	V	0.008	0.0	0.0	0.0	0.0	0.0	0.0
SPAC4A8.03c	ptc4	condition-dependent	V	0.066	0.313	0.661	1.031	1.314	1.528	1.643
SPAC4A8.04	isp6	viable	V	0.201	1.853	2.723	2.977	3.034	3.048	3.05
SPAC4A8.05c	myp2	condition-dependent	V	0.035	0.093	0.162	0.24	0.309	0.373	0.415
SPAC4A8.06c	SPAC4A8.06c	viable	V	0.0	0.0	0.0	0.001	0.177	0.641	0.813
SPAC4A8.07c	lcb4	viable	V	0.0	0.092	0.339	0.493	0.544	0.56	0.564
SPAC4A8.08c	vrs2	inviable	E	0.0	0.004	0.778	2.849	3.821	4.119	4.18
SPAC4A8.09c	cwf21	viable	V	0.014	0.136	0.352	0.579	0.738	0.843	0.892
SPAC4A8.10	rog1	viable	V	0.063	0.348	0.625	0.804	0.889	0.931	0.945
SPAC4A8.11c	fas2	inviable	E	0.124	2.049	3.453	3.927	4.043	4.073	4.079
SPAC4A8.12c	sds22	inviable	E	0.003	0.744	2.482	3.506	3.84	3.946	3.97
SPAC4A8.13c	pts1	inviable	E	0.264	2.048	3.41	4.019	4.219	4.289	4.307
SPAC4A8.14	SPAC4A8.14	viable	V	0.034	0.089	0.156	0.23	0.297	0.358	0.398
SPAC4A8.15c	cdc3	inviable	E	0.009	0.913	2.623	3.596	3.921	4.027	4.053
SPAC4A8.16c	tif303	inviable	E	0.142	2.179	3.553	3.992	4.095	4.121	4.126
SPAC4C5.01	pud1	viable	V	0.106	0.719	1.217	1.466	1.557	1.592	1.602
SPAC4C5.02c	ryh1	condition-dependent	V	0.003	0.516	2.173	3.654	4.343	4.635	4.723
SPAC4C5.03	SPAC4C5.03	viable	V	0.009	0.374	0.824	1.029	1.09	1.108	1.113
